Java HotSpot(TM) 64-Bit Server VM (25.0.1) for Mac OS X
Memory: physical max 4194304K
CommandLine flags: -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+UseG1GC
2026-03-09T22:26:21.457+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 149M->134M(4096M), 0.003 secs]
2026-03-09T22:26:21.465+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 139M->37M(4096M), 0.001 secs]
2026-03-09T22:26:30.247+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 142M->134M(4096M), 0.003 secs]
2026-03-09T22:26:30.270+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 140M->62M(4096M), 0.004 secs]
2026-03-09T22:26:30.885+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 140M->134M(4096M), 0.002 secs]
2026-03-09T22:26:30.901+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 140M->74M(4096M), 0.001 secs]
2026-03-09T22:26:31.427+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 140M->134M(4096M), 0.003 secs]
2026-03-09T22:26:31.444+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 138M->84M(4096M), 0.002 secs]
2026-03-09T22:26:31.885+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 140M->135M(4096M), 0.003 secs]
2026-03-09T22:26:32.865+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 259M->211M(4096M), 0.003 secs]
2026-03-09T22:26:33.067+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 259M->153M(4096M), 0.003 secs]
2026-03-09T22:26:33.765+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 261M->237M(4096M), 0.001 secs]
2026-03-09T22:26:33.906+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 259M->185M(4096M), 0.002 secs]
2026-03-09T22:26:34.343+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 259M->141M(4096M), 0.002 secs]
2026-03-09T22:26:35.064+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 259M->171M(4096M), 0.002 secs]
2026-03-09T22:26:35.695+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 259M->182M(4096M), 0.003 secs]
2026-03-09T22:26:36.191+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 256M->148M(4096M), 0.002 secs]
2026-03-09T22:26:36.901+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 256M->202M(4096M), 0.001 secs]
2026-03-09T22:26:37.305+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 258M->138M(4096M), 0.001 secs]
2026-03-09T22:26:38.041+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 256M->172M(4096M), 0.000 secs]
2026-03-09T22:26:38.646+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 256M->178M(4096M), 0.001 secs]
2026-03-09T22:26:39.162+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 256M->152M(4096M), 0.001 secs]
2026-03-09T22:26:39.905+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 256M->198M(4096M), 0.001 secs]
2026-03-09T22:26:40.284+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 256M->136M(4096M), 0.001 secs]
2026-03-09T22:26:40.902+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 256M->215M(4096M), 0.001 secs]
2026-03-09T22:26:41.879+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 245M->107M(4096M), 0.001 secs]
2026-03-09T22:26:44.405+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 257M->137M(4096M), 0.000 secs]
2026-03-09T22:26:45.904+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 265M->166M(4096M), 0.001 secs]
2026-03-09T22:26:46.716+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 254M->184M(4096M), 0.001 secs]
2026-03-09T22:26:46.906+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 254M->214M(4096M), 0.001 secs]
2026-03-09T22:26:47.225+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 254M->192M(4096M), 0.002 secs]
2026-03-09T22:26:47.458+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 256M->210M(4096M), 0.001 secs]
2026-03-09T22:26:47.731+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 254M->230M(4096M), 0.002 secs]
